title,author,first_published,edition
Atomic Habits,byJames Clear,2016,41 editions
Control Your Mind and Master Your Feelings,byEric Robertson - undifferentiated,2019,2 editions
Um casamento arranjado,byZana Kheiron,2019,15 editions
The 48 Laws of Power,byRobert GreeneandJoost Elffers,1998,52 editions
It Ends With Us,byColleen Hoover,2012,34 editions
I Don't Love You Anymore,byRithvik Singh,2020,2 editions
"Rich Dad, Poor Dad",byRobert T. KiyosakiandSharon L. Lechter,1990,78 editions
Twisted Love,byAna Huang,2021,13 editions
Think and Grow Rich,byNapoleon Hill,1937,279 editions
The Psychology of Money,byMorgan Housel,2020,9 editions
Haunting Adeline,byH. D. Carlton,2021,9 editions
Icebreaker,byHannah Grace,2020,9 editions
Harry Potter and the Philosopher's Stone,byJ. K. Rowling,1997,337 editions
The Subtle Art of Not Giving a F*ck,byMark Manson,2016,41 editions
A Game of Thrones,byGeorge R. R. Martin,1996,86 editions
It Starts with Us,byColleen Hoover,2022,16 editions
The Power of Your Subconscious Mind,byJoseph Murphy,1963,117 editions
Read People Like a Book,byPatrick King,2020,3 editions
A Court of Mist and Fury,bySarah J. Maas,2014,25 editions
How to Win Friends and Influence People,byDale Carnegie,1913,151 editions
The Alchemist,byPaulo Coelho,1988,132 editions
Twisted Lies,byAna HuangandMariona Gastó Jiménez,2022,7 editions
Twisted Games,byAna Huang,2021,10 editions
Shatter Me,byTahereh Mafi,2011,13 editions
Can't Hurt Me: Master Your Mind and Defy the Odds,byDavid Goggins,2018,7 editions
Fifty Shades of Grey,byE. L. James,2000,138 editions
Ikigai: The Japanese Secret to a Long and Happy Life,byHéctor GarcíaandFrancesc Miralles,2017,10 editions
The Art of Seduction,byRobert GreeneandJoost Elffers,1901,20 editions
Nineteen Eighty-Four,byGeorge Orwell,1949,431 editions
The Love Hypothesis,byAli Hazelwood,2021,7 editions
The Lightning Thief,byRick Riordan,2005,77 editions
The Hunger Games,bySuzanne Collins,2008,105 editions
The 7 Habits of Highly Effective People,byStephen R. CoveyandSean Covey,1989,74 editions
Twisted Hate,byAna Huang,2022,4 editions
Ugly Love,byColleen Hoover,2014,12 editions
The Silent Patient,byAlex Michaelides,2018,25 editions
Sapiens: A Brief History of Humankind,byYuval Noah Harari,2011,38 editions
Pride and Prejudice,byJane Austen,1813,4035 editions
A Gentle Reminder,byBianca Sparacino,2020,3 editions
The Cruel Prince,"byHolly Black,Caitlin Kelly,LitJoy Crate, andHolly Black",2018,16 editions
A Good Girl's Guide to Murder,byHolly Jackson,2019,22 editions
No Longer Human,byOsamu Dazai,1948,16 editions
Harry Potter and the Chamber of Secrets,byJ. K. Rowling,1998,272 editions
"Red, White & Royal Blue",byCasey McQuiston,2019,20 editions
Fourth Wing,byRebecca Yarros,2023,8 editions
Hujan,byTere Liye,2018,1 edition
King of Wrath,byAna Huang,2022,5 editions
It,byStephen King,1925,95 editions
101 Essays That Will Change The Way You Think,byBrianna Wiest,2018,4 editions
Harry Potter and the Deathly Hallows,byJ. K. Rowling,2007,121 editions
If he had been with me,byLaura Nowlin,2013,6 editions
Twilight,byStephenie Meyer,2005,116 editions
Dune,byFrank Herbert,1965,116 editions
"Thinking, fast and slow",byDaniel Kahneman,2011,33 editions
How to Talk to Anyone,byLeil LowndesandLEILA,1999,9 editions
A Court of Thorns and Roses,bySarah J. Maas,2015,26 editions
Hunting Adeline,byH. D. Carlton,2022,4 editions
To Kill a Mockingbird,byHarper Lee,1960,187 editions
Harry Potter and the Prisoner of Azkaban,byJ. K. Rowling,1999,259 editions
A Little Life,byHanya Yanagihara,2015,27 editions
Ice breaker,byHannah Grace,2022,2 editions
Die Verwandlung,byFranz Kafka,1915,948 editions
The Secret,byRhonda Byrne,2000,18 editions
Diary of a Wimpy Kid,byJeff Kinney,1900,93 editions
The Power of Positive Thinking,byNorman Vincent Peale,1952,89 editions
Powerless,byLauren Roberts,2023,10 editions
Deep Work: Rules for Focused Success in a Distracted World,byCal Newport,2016,10 editions
The Laws of Human Nature,byRobert Greene,2018,9 editions
The Seven Husbands of Evelyn Hugo,byTaylor Jenkins Reid,2017,17 editions
Charlotte's Web,byE. B. White,1952,149 editions
Harry Potter and the Goblet of Fire,byJ. K. RowlingandJim Kay,1993,223 editions
Romeo and Juliet,byWilliam Shakespeare,1597,972 editions
The Hobbit,byJ.R.R. Tolkien,1937,457 editions
Better Than the Movies,byLynn Painter,2021,5 editions
Meditations,byMarcus Aurelius,1626,365 editions
Harry Potter and the Order of the Phoenix,byJ. K. Rowling,2003,193 editions
Animal Farm,byGeorge Orwell,1945,411 editions
Shatter Me Complete Collection,byTahereh Mafi,2011,2 editions
